,team,player_number,club,position,fifa_name,birth,name,height,weight
610,Serbia,13,SV Werder Bremen (GER),DF,VELJKOVIC Milos,1995-09-26,VELJKOVIĆ,188,77
611,Serbia,14,FK Crvena Zvezda (SRB),DF,RODIC Milan,1991-02-04,RODIĆ,185,69
612,Serbia,15,ACF Fiorentina (ITA),DF,MILENKOVIC Nikola,1997-12-10,MILENKOVIĆ,195,90
613,Serbia,16,Cardiff City FC (WAL),MF,GRUJIC Marko,1996-04-13,GRUJIĆ,190,82
614,Serbia,17,Hamburger SV (GER),MF,KOSTIC Filip,1992-01-11,KOSTIĆ,184,82
615,Serbia,18,FK Crvena Zvezda (SRB),FW,RADONJIC Nemanja,1996-02-15,RADONJIĆ,185,76
616,Serbia,19,Eintracht Frankfurt (GER),FW,JOVIC Luka,1997-12-23,JOVIĆ,181,75
617,Serbia,20,SS Lazio (ITA),MF,MILINKOVIC-SAVIC Sergej,1995-02-27,SERGEJ,192,76
618,Serbia,21,Manchester United FC (ENG),MF,MATIC Nemanja,1988-01-08,MATIĆ,194,86
619,Serbia,22,Torino FC (ITA),MF,LJAJIC Adem,1991-09-29,LJAJIĆ,182,74
620,Serbia,23,SD Eibar (ESP),GK,DMITROVIC Marko,1992-01-24,DMITROVIĆ,194,90
621,Spain,1,Manchester United FC (ENG),GK,DE GEA David,1990-07-11,DE GEA,190,71
622,Spain,2,Real Madrid CF (ESP),DF,CARVAJAL Dani,1992-11-01,CARVAJAL,173,73
623,Spain,3,FC Barcelona (ESP),DF,PIQUE Gerard,1987-02-02,PIQUÉ,194,85
624,Spain,4,Real Madrid CF (ESP),DF,NACHO,1990-01-18,NACHO,179,77
625,Spain,5,FC Barcelona (ESP),MF,BUSQUETS Sergio,1988-07-16,SERGIO,189,78
626,Spain,6,FC Barcelona (ESP),MF,INIESTA Andres,1984-11-05,A. INIESTA,171,68
627,Spain,7,Atletico Madrid (ESP),MF,SAUL,1994-11-21,SAÚL,183,76
628,Spain,8,Atletico Madrid (ESP),MF,KOKE,1992-08-01,KOKE,176,73
629,Spain,9,Valencia CF (ESP),FW,RODRIGO,1991-06-03,RODRIGO M.,182,72
630,Spain,10,FC Bayern München (GER),MF,THIAGO,1991-11-04,THIAGO,174,70
631,Spain,11,Real Madrid CF (ESP),FW,VAZQUEZ Lucas,1991-01-07,LUCAS V.,173,70
632,Spain,12,Real Sociedad (ESP),DF,ODRIOZOLA Alvaro,1995-12-14,ODRIOZOLA,178,67
633,Spain,13,Athletic Bilbao (ESP),GK,ARRIZABALAGA Kepa,1994-03-10,ARRIZABALAGA,189,84
634,Spain,14,Chelsea FC (ENG),DF,AZPILICUETA Cesar,1989-08-28,AZPILICUETA,178,78
635,Spain,15,Real Madrid CF (ESP),DF,RAMOS Sergio,1986-03-30,RAMOS,183,75
636,Spain,16,Arsenal FC (ENG),DF,MONREAL Nacho,1986-02-26,MONREAL,179,72
637,Spain,17,Celta Vigo (ESP),FW,ASPAS Iago,1987-01-08,IAGO ASPAS,176,67
638,Spain,18,FC Barcelona (ESP),DF,ALBA Jordi,1989-03-21,JORDI ALBA,170,68
639,Spain,19,Atletico Madrid (ESP),FW,COSTA Diego,1988-07-10,DIEGO COSTA,185,86
640,Spain,20,Real Madrid CF (ESP),MF,ASENSIO Marco,1996-01-21,ASENSIO,182,76
641,Spain,21,Manchester City FC (ENG),FW,SILVA David,1986-08-01,SILVA,170,67
642,Spain,22,Real Madrid CF (ESP),MF,ISCO,1992-04-21,ISCO,176,74
643,Spain,23,SSC Napoli (ITA),GK,REINA Pepe,1982-08-31,REINA,188,92
644,Sweden,1,FC Kobenhavn (DEN),GK,OLSEN Robin,1990-08-01,OLSEN,198,89
645,Sweden,2,Celtic FC (SCO),DF,LUSTIG Mikael,1986-12-13,LUSTIG,189,77
646,Sweden,3,Manchester United FC (ENG),DF,LINDELOF Victor,1994-07-17,LINDELÖF,187,81
647,Sweden,4,FC Krasnodar (RUS),DF,GRANQVIST Andreas,1985-04-16,GRANQVIST,192,84
648,Sweden,5,Swansea City AFC (WAL),DF,OLSSON Martin,1988-05-17,OLSSON,177,81
649,Sweden,6,SV Werder Bremen (GER),DF,AUGUSTINSSON Ludwig,1994-04-21,AUGUSTINSSON,181,76
650,Sweden,7,Hull City FC (ENG),MF,LARSSON Sebastian,1985-06-06,LARSSON,178,70
651,Sweden,8,Hamburger SV (GER),MF,EKDAL Albin,1989-07-28,EKDAL,186,75
652,Sweden,9,Al Ain FC (UAE),FW,BERG Marcus,1986-08-17,BERG,183,76
653,Sweden,10,RB Leipzig (GER),MF,FORSBERG Emil,1991-10-23,FORSBERG,179,78
654,Sweden,11,Deportivo Alavés (ESP),FW,GUIDETTI John,1992-04-15,GUIDETTI,185,79
655,Sweden,12,EA Guingamp (FRA),GK,JOHNSSON Karl-Johan,1990-01-28,JOHNSSON,187,83
656,Sweden,13,Seattle Sounders FC (USA),MF,SVENSSON Gustav,1987-07-02,SVENSSON,183,77
657,Sweden,14,Bologna FC (ITA),DF,HELANDER Filip,1993-04-22,HELANDER,192,83
658,Sweden,15,Genoa CFC (ITA),MF,HILJEMARK Oscar,1992-06-28,HILJEMARK,184,73
659,Sweden,16,Bologna FC (ITA),DF,KRAFTH Emil,1994-02-08,KRAFTH,181,72
660,Sweden,17,FC Krasnodar (RUS),MF,CLAESSON Viktor,1992-02-01,CLAESSON,183,79
661,Sweden,18,Leeds United FC (ENG),DF,JANSSON Pontus,1991-02-13,JANSSON,194,89
662,Sweden,19,FC Crotone (ITA),MF,ROHDEN Marcus,1991-11-05,ROHDÉN,182,76
663,Sweden,20,Toulouse FC (FRA),FW,TOIVONEN Ola,1986-03-07,TOIVONEN,192,78
664,Sweden,21,Toulouse FC (FRA),MF,DURMAZ Jimmy,1989-03-22,DURMAZ,180,69
665,Sweden,22,KV Waasland-Beveren (BEL),FW,THELIN Isaac Kiese,1992-06-24,KIESE THELIN,189,83
666,Sweden,23,Swansea City AFC (WAL),GK,NORDFELDT Kristoffer,1989-06-23,NORDFELDT,190,85
667,Switzerland,1,VfL Borussia Mönchengladbach (GER),GK,SOMMER Yann,1988-12-17,SOMMER,183,81
668,Switzerland,2,Juventus FC (ITA),DF,LICHTSTEINER Stephan,1984-01-16,LICHTSTEINER,181,77
669,Switzerland,3,Toulouse FC (FRA),DF,MOUBANDJE Francois,1990-06-21,MOUBANDJE,180,76
670,Switzerland,4,VfL Borussia Mönchengladbach (GER),DF,ELVEDI Nico,1996-09-30,ELVEDI,187,77
671,Switzerland,5,Borussia Dortmund (GER),DF,AKANJI Manuel,1995-07-19,AKANJI,186,85
672,Switzerland,6,FC Basel (SUI),DF,LANG Michael,1991-08-02,LANG,185,78
673,Switzerland,7,FC Schalke 04 (GER),FW,EMBOLO Breel,1997-02-14,EMBOLO,184,86
674,Switzerland,8,Atalanta Bergamo (ITA),MF,FREULER Remo,1992-04-15,FREULER,181,75
675,Switzerland,9,SL Benfica (POR),FW,SEFEROVIC Haris,1992-02-22,SEFEROVIC,186,88
676,Switzerland,10,Arsenal FC (ENG),MF,XHAKA Granit,1992-09-27,XHAKA,183,82
677,Switzerland,11,Udinese Calcio (ITA),MF,BEHRAMI Valon,1985-04-19,BEHRAMI,184,78
678,Switzerland,12,RB Leipzig (GER),GK,MVOGO Yvon,1994-06-06,MVOGO,186,84
679,Switzerland,13,AC Milan (ITA),DF,RODRIGUEZ Ricardo,1992-08-25,RODRIGUEZ,180,79
680,Switzerland,14,TSG 1899 Hoffenheim (GER),MF,ZUBER Steven,1991-08-17,ZUBER,182,79
681,Switzerland,15,Bologna FC (ITA),MF,DZEMAILI Blerim,1986-12-04,DZEMAILI,180,77
682,Switzerland,16,Eintracht Frankfurt (GER),MF,FERNANDES Gelson,1986-02-09,G. FERNANDES,180,72
683,Switzerland,17,VfL Borussia Mönchengladbach (GER),MF,ZAKARIA Denis,1996-11-20,ZAKARIA,189,77
684,Switzerland,18,GNK Dinamo Zagreb (CRO),FW,GAVRANOVIC Mario,1989-11-24,GAVRANOVIC,175,75
685,Switzerland,19,VfL Borussia Mönchengladbach (GER),FW,DRMIC Josip,1992-08-08,DRMIC,184,78
686,Switzerland,20,Antalyaspor AS (TUR),DF,DJOUROU Johan,1987-01-18,DJOUROU,192,90
687,Switzerland,21,Borussia Dortmund (GER),GK,BUERKI Roman,1990-11-14,BÜRKI,188,83
688,Switzerland,22,Deportivo La Coruña (ESP),DF,SCHAER Fabian,1991-12-20,SCHÄR,186,83
689,Switzerland,23,Stoke City FC (ENG),MF,SHAQIRI Xherdan,1991-10-10,SHAQIRI,165,78
690,Tunisia,1,Al Shabab FC (KSA),GK,BEN MUSTAPHA Farouk,1989-01-07,BEN MUSTAPHA,192,85
691,Tunisia,2,Kasimpasa SK (TUR),DF,BEN YOUSSEF Syam,1989-03-31,BEN YOUSSEF .S,189,87
692,Tunisia,3,Leicester City FC (ENG),DF,BEN ALOUANE Yohan,1987-03-28,BEN ALOUANE,185,75
693,Tunisia,4,CS Sfaxien (TUN),DF,MERIAH Yassine,1993-02-07,MERIAH,183,70
694,Tunisia,5,Dijon FCO (FRA),DF,HADDADI Oussama,1992-01-28,HADDADI,185,76
695,Tunisia,6,Étoile du Sahel (TUN),DF,BEDOUI Rami,1990-01-19,BEDOUI,187,77
696,Tunisia,7,ES Troyes (FRA),FW,KHAOUI Saifeddine,1995-04-27,KHAOUI,180,76
697,Tunisia,8,Al Ittifaq FC (KSA),FW,BEN YOUSSEF Fakhreddine,1991-06-23,BEN YOUSSEF .F,189,80
698,Tunisia,9,ES Tunis (TUN),MF,BADRI Anice,1990-09-18,BADRI,178,70
699,Tunisia,10,Stade Rennais FC (FRA),FW,KHAZRI Wahbi,1991-08-02,KHAZRI,182,76
700,Tunisia,11,KAA Gent (BEL),DF,BRONN Dylan,1995-06-19,BRONN,186,75
