,co2,relative_temp
1897-05-15,296.18795542571803,-0.031
1897-06-15,295.466281234635,-0.155
1897-07-15,293.84479640814203,-0.157
1897-08-15,292.26865447852504,-0.149
1897-09-15,292.255101502942,-0.135
1897-10-15,293.319894375308,-0.258
1897-11-15,294.35128445791804,-0.45299999999999996
1897-12-15,295.013320605175,-0.47700000000000004
1898-01-15,295.495785795105,-0.085
1898-02-15,295.900587777722,-0.38
1898-03-15,296.263631256679,-0.7490000000000001
1898-04-15,296.52530593652597,-0.573
1898-05-15,296.488374296571,-0.474
1898-06-15,295.774252174158,-0.319
1898-07-15,294.159052429187,-0.377
1898-08-15,292.58757595857,-0.306
1898-09-15,292.578460026521,-0.332
1898-10-15,293.64691860989603,-0.556
1898-11-15,294.68154855183997,-0.449
1898-12-15,295.346491557574,-0.34600000000000003
1899-01-15,295.836768010065,-0.20800000000000002
1899-02-15,296.24316429242197,-0.494
1899-03-15,296.606923617051,-0.544
1899-04-15,296.868785656505,-0.35100000000000003
1899-05-15,296.830796596359,-0.316
1899-06-15,296.11494682829897,-0.39
1899-07-15,294.500188994674,-0.275
1899-08-15,292.931739520593,-0.147
1899-09-15,292.92576250161596,-0.136
1899-10-15,293.998202646656,-0.188
1899-11-15,295.0369161942,0.027999999999999997
1899-12-15,295.705788082836,-0.45
1900-01-15,296.20596389274397,-0.266
1900-02-15,296.614809509124,-0.172
1900-03-15,296.980286495298,-0.285
1900-04-15,297.24335431595904,-0.261
1900-05-15,297.204653373023,-0.273
1900-06-15,296.486728876377,-0.18
1900-07-15,294.872528792264,-0.19
1900-08-15,293.30758282747,-0.185
1900-09-15,293.303980899347,-0.23
1900-10-15,294.378459745199,-0.057999999999999996
1900-11-15,295.417432919119,-0.263
1900-12-15,296.084199654158,-0.075
1901-01-15,296.574428464023,-0.17600000000000002
1901-02-15,296.97794204013803,-0.272
1901-03-15,297.336868610416,-0.23600000000000002
1901-04-15,297.59254542876,-0.187
1901-05-15,297.545069029364,-0.196
1901-06-15,296.817623336671,-0.146
1901-07-15,295.19587023482103,-0.188
1901-08-15,293.625832460331,-0.196
1901-09-15,293.617446593405,-0.34299999999999997
1901-10-15,294.688231161259,-0.298
1901-11-15,295.724033621731,-0.442
1901-12-15,296.38808461672,-0.428
1902-01-15,296.874561447502,-0.23199999999999998
1902-02-15,297.27749741650797,-0.26
1902-03-15,297.637506919953,-0.39799999999999996
1902-04-15,297.895805610999,-0.451
1902-05-15,297.851919472589,-0.401
1902-06-15,297.128839064123,-0.424
1902-07-15,295.512695420288,-0.391
1902-08-15,293.949271401492,-0.368
1902-09-15,293.947418847618,-0.361
1902-10-15,295.024508598818,-0.47700000000000004
