name,country,age,height,weight,sex,birth,gold,silver,bronze,total,sport,event
Damir Martin,Croatia,24,188.0,94.0,M,1988-07-14 00:00:00,0,1,0,1,Rowing,Men's Quadruple Sculls
Razvan Constantin Martin,Romania,20,158.0,69.0,M,1991-12-22 00:00:00,0,0,1,1,Weightlifting,Men's 69kg
Tony Martin,Germany,27,186.0,75.0,M,1985-04-23 00:00:00,0,1,0,1,Cycling - Road,"Men's Individual Time Trial, Men's Road Race"
Sergei Martynov,Belarus,44,172.0,70.0,M,1968-05-18 00:00:00,1,0,0,1,Shooting,Men's 50m Rifle Prone
Natalie Mastracci,Canada,23,178.0,75.0,F,1989-06-05 00:00:00,0,1,0,1,Rowing,Women's Eight
Takeshi Matsuda,Japan,28,184.0,85.0,M,1984-06-23 00:00:00,0,0,1,1,Swimming,"Men's 100m Butterfly, Men's 200m Butterfly, Men's 4x100m Medley Relay"
Kaori Matsumoto,Japan,24,162.0,57.0,F,1987-09-11 00:00:00,1,0,0,1,Judo,Women's -57kg
Conlin Mccabe,Canada,21,205.0,100.0,M,1990-08-20 00:00:00,0,1,0,1,Rowing,Men's Eight
Nicholas Mccrory,United States of America,20,180.0,74.0,M,1991-08-09 00:00:00,0,0,1,1,Diving,"Men's 10m Platform, Men's Synchronised 10m Platform"
Kaarle Mcculloch,Australia,24,168.0,69.0,F,1988-01-20 00:00:00,0,0,1,1,Cycling - Track,Women's Team Sprint
Matthew Mclean,United States of America,24,198.0,100.0,M,1988-05-13 00:00:00,1,0,0,1,Swimming,Men's 4x200m Freestyle Relay
James Mcrae,Australia,25,193.0,93.0,M,1987-06-27 00:00:00,0,0,1,1,Rowing,Men's Quadruple Sculls
Anna Meares,Australia,28,165.0,72.0,F,1983-09-21 00:00:00,0,0,1,1,Cycling - Track,"Women's Sprint, Women's Keirin, Women's Team Sprint"
Ruta Meilutyte,Lithuania,15,172.0,64.0,F,1997-03-19 00:00:00,1,0,0,1,Swimming,"Women's 50m Freestyle, Women's 100m Freestyle, Women's 100m Breaststroke"
Sarah Menezes,Brazil,22,154.0,48.0,F,1990-03-26 00:00:00,1,0,0,1,Judo,Women's -48kg
Florian Mennigen,Germany,30,194.0,93.0,M,1982-04-10 00:00:00,1,0,0,1,Rowing,Men's Eight
