país Name,"país Code","serie Name","serie Code","1960 [YR1960]","2017 [YR2017]"
Namibia,"NAM","Población, mujeres","SP.POP.TOTL.FE.IN","305087","1301124"
Namibia,"NAM","Población, total","SP.POP.TOTL","602544","2533794"
Níger,"NER","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","35.471","61.496"
Níger,"NER","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","35.045","60.422"
Níger,"NER","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","34.547","59.435"
Níger,"NER","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","449526872.565561","8119710126.3489"
Níger,"NER","Población, hombres","SP.POP.TOTL.MA.IN","1596477","10769779"
Níger,"NER","Población, mujeres","SP.POP.TOTL.FE.IN","1792287","10707569"
Níger,"NER","Población, total","SP.POP.TOTL","3388764","21477348"
Nigeria,"NGA","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","38.445","54.69"
Nigeria,"NGA","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","36.975","53.875"
Nigeria,"NGA","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","35.575","53.087"
Nigeria,"NGA","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","4196092258.15484","375745486520.656"
Nigeria,"NGA","Población, hombres","SP.POP.TOTL.MA.IN","22530196","96729234"
Nigeria,"NGA","Población, mujeres","SP.POP.TOTL.FE.IN","22607616","94157077"
Nigeria,"NGA","Población, total","SP.POP.TOTL","45137812","190886311"
República Centroafricana,"CAF","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","38.094","54.83"
República Centroafricana,"CAF","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","36.489","52.89"
República Centroafricana,"CAF","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","34.948","50.974"
República Centroafricana,"CAF","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","112155598.949571","1949411659.20453"
República Centroafricana,"CAF","Población, hombres","SP.POP.TOTL.MA.IN","739365","2298019"
República Centroafricana,"CAF","Población, mujeres","SP.POP.TOTL.FE.IN","764143","2361061"
República Centroafricana,"CAF","Población, total","SP.POP.TOTL","1503508","4659080"
Rwanda,"RWA","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","43.875","69.629"
Rwanda,"RWA","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","42.292","67.496"
Rwanda,"RWA","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","40.701","65.32"
Rwanda,"RWA","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","119000024","9135454442.14013"
Rwanda,"RWA","Población, hombres","SP.POP.TOTL.MA.IN","1439609","5986523"
Rwanda,"RWA","Población, mujeres","SP.POP.TOTL.FE.IN","1493819","6221884"
Rwanda,"RWA","Población, total","SP.POP.TOTL","2933428","12208407"
Santo Tomé y Príncipe,"STP","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","51.969","68.905"
Santo Tomé y Príncipe,"STP","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","50.364","66.762"
